redundancy_group,group_size,pdb_id,total_peptide_length,mhc_length,binder_lengths,resolution_angstrom,experimental_method,is_class_representative,standard_rank_representative,class_priority_changed_selection,representative_selection_reason
RED00015,2,3D25,189,180,,1.3,X-ray,no,3D25,no,best_resolution
RED00032,3,1OGA,630,180,241;200,1.4,X-ray,no,1OGA,no,best_resolution
RED00043,5,5IB2,189,180,,1.44,X-ray,no,5IB2,no,best_resolution
RED00045,2,1X7Q,189,180,,1.45,X-ray,no,1X7Q,no,best_resolution
RED00079,2,5NMH,189,180,,1.55,X-ray,no,5NMH,no,best_resolution
RED00093,3,2V2W,189,180,,1.6,X-ray,no,2V2W,no,best_resolution
RED00095,2,2VLL,189,180,,1.6,X-ray,no,2VLL,no,best_resolution
RED00096,2,3BGM,189,180,,1.6,X-ray,no,3BGM,no,best_resolution
RED00098,2,3GSO,189,180,,1.6,X-ray,no,3GSO,no,best_resolution
RED00110,3,7S8E,189,180,,1.6,X-ray,no,7S8E,no,best_resolution
RED00113,2,9SL0,189,180,,1.6,X-ray,no,9SL0,no,best_resolution
RED00133,3,5NMK,189,180,,1.66,X-ray,no,5NMK,no,best_resolution
RED00137,5,7P3D,189,180,,1.67,X-ray,no,7P3D,no,best_resolution
RED00139,2,3QFD,189,180,,1.68,X-ray,no,3QFD,no,best_resolution
RED00150,2,1SYV,189,180,,1.7,X-ray,no,1SYV,no,best_resolution
RED00153,2,2GTZ,189,180,,1.7,X-ray,no,2GTZ,no,best_resolution
RED00164,2,4F7T,188,180,,1.7,X-ray,no,4F7T,no,best_resolution
RED00165,3,6TDS,180,180,,1.7,X-ray,no,6TDS,no,best_resolution
RED00166,2,9C6V,191,180,,1.7,X-ray,no,9C6V,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length
RED00176,2,2CIK,189,180,,1.75,X-ray,no,2CIK,no,best_resolution
RED00198,3,1DUZ,189,180,,1.8,X-ray,no,1DUZ,no,best_resolution
RED00222,2,7S8F,189,180,,1.8,X-ray,no,7S8F,no,best_resolution
RED00226,2,8SBK,189,180,,1.8,X-ray,no,8SBK,no,best_resolution
RED00231,2,4O2C,189,180,,1.802,X-ray,no,4O2C,no,best_resolution
RED00265,2,8YZZ,189,180,,1.88,X-ray,no,8YZZ,no,best_resolution
RED00270,2,7EJL,189,180,,1.89,X-ray,no,7EJL,no,greatest_mhc_length
RED00281,2,2X4Q,189,180,,1.9,X-ray,no,2X4Q,no,best_resolution
RED00306,2,8VJZ,190,180,,1.9,X-ray,no,8VJZ,no,best_resolution
RED00324,4,3VXN,190,180,,1.95,X-ray,no,3VXN,no,best_resolution
RED00328,2,7L1C,189,180,,1.96,X-ray,no,7L1C,no,best_resolution
RED00371,2,7NUI,189,180,,2.0,X-ray,no,7NUI,no,greatest_mhc_length
RED00374,2,9CX1,189,180,,2.0,X-ray,no,9CX1,no,best_resolution
RED00393,2,5HGD,190,180,,2.07,X-ray,no,5HGD,no,best_resolution
RED00411,5,2X4U,189,180,,2.1,X-ray,no,2X4U,no,best_resolution
RED00418,2,3MRP,190,180,,2.1,X-ray,no,3MRP,no,best_resolution
RED00421,4,6VB7,189,180,,2.1,X-ray,no,6VB7,no,best_resolution
RED00452,2,5HGA,188,180,,2.199,X-ray,no,5HGA,no,best_resolution
RED00455,2,7NME,620,180,191;240,2.2,X-ray,no,7NME,no,best_resolution
RED00459,2,1OF2,189,180,,2.2,X-ray,no,1OF2,no,best_resolution
RED00511,4,7LG0,189,180,,2.3,X-ray,no,7LG0,no,best_resolution
RED00515,2,8RJI,189,180,,2.3,X-ray,no,8RJI,no,best_resolution
RED00519,2,6VB4,189,180,,2.334,X-ray,no,6VB4,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length
RED00531,2,6VR5,189,180,,2.38,X-ray,no,6VR5,no,best_resolution
RED00547,2,1Q94,189,180,,2.4,X-ray,no,1Q94,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length
RED00554,2,4WU5,188,180,,2.4,X-ray,no,4WU5,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length
RED00586,2,1A9E,189,180,,2.5,X-ray,no,1A9E,no,best_resolution
RED00616,2,3UTT,633,180,199;244,2.6,X-ray,no,3UTT,no,best_resolution
RED00628,2,8RJH,189,180,,2.6,X-ray,no,8RJH,no,greatest_mhc_length
RED00631,2,3W0W,635,180,241;204,2.603,X-ray,no,3W0W,no,best_resolution
RED00636,2,4L3C,189,180,,2.64,X-ray,no,4L3C,no,best_resolution
RED00637,2,8TBV,189,180,,2.64,X-ray,no,8TBV,no,best_resolution
RED00724,2,8RJ5,638,180,245;204,3.02,X-ray,no,8RJ5,no,best_resolution
RED00747,2,5WWI,191,180,,3.194,X-ray,no,5WWI,no,best_resolution
RED00783,4,6P2C,188,179,,1.396,X-ray,no,6P2C,no,best_resolution
RED00821,2,6ULI,188,179,,1.88,X-ray,no,6ULI,no,best_resolution
RED00824,2,6AEE,188,179,,3.303,X-ray,yes,1YDP,yes,class_representative_priority_changed_selection
RED00827,2,6JTN,189,179,,1.9,X-ray,no,6JTN,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length
RED00876,2,2DYP,188,179,,2.5,X-ray,no,2DYP,no,best_resolution
RED00925,2,3CII,425,179,116;121,4.41,X-ray,no,3CII,no,greatest_mhc_length
RED00973,2,6R2U,177,177,,2.49,X-ray,no,6R2U,no,greatest_mhc_length
RED00993,5,1T80,176,176,,2.1,X-ray,no,1T80,no,greatest_mhc_length
RED01130,2,6QIO,756,172,584,1.95,X-ray,no,6QIO,no,best_resolution
RED01142,4,7Q5D,170,170,,1.8,X-ray,no,7Q5D,no,greatest_mhc_length
RED01143,5,6C98,170,170,,1.85,X-ray,no,6C98,no,best_resolution
